ID,Film,Display,CreatedAt,CoverURL,Description,CoverURLDetails
1,Transformers: Rise of the Beasts,1,,https://upload.wikimedia.org/wikipedia/en/1/1c/Transformers-_Rise_of_the_Beasts.jpg,"In 1994 Brooklyn, ex-U.S military electronics expert Noah Diaz struggles to find a job to support his ill brother, Kris, and is convinced by his friend Reek to steal a Porsche 911 to sell, only to discover that the car is the Autobot Mirage in disguise. Concurrently, museum intern Elena Wallace studies an ancient statue of a falcon bearing the Maximal symbol and accidentally breaks it open to reveal the Transwarp Key hidden inside. The key releases a secret energy pulse that is detected by Autobot leader Optimus Prime, who summons the other Autobots. Mirage is contacted in the middle of Noah's attempted theft, and he is roped into the robots' mission to recover the key from the museum so they can use it to return to their homeworld, Cybertron.",https://i.ytimg.com/vi/ZtuFgnxQMrA/maxresdefault.jpg
2,Spider-Man: Across The Spider-Verse,1,,https://upload.wikimedia.org/wikipedia/en/b/b4/Spider-Man-_Across_the_Spider-Verse_poster.jpg,"On Earth-65, Gwen Stacy lives with her father, police captain George, who is unaware that she is Spider-Woman. Years prior, Gwen accidentally caused the death of her best friend Peter Parker while he was rampaging as the Lizard, and police have been hunting her ever since. One night, Gwen encounters a version of the Vulture from an Italian Renaissance-themed alternate universe. Spider-People Miguel O'Hara and Jess Drew arrive using portal-generating watches and help Gwen neutralize the Vulture. George corners Gwen, who then reveals her identity to him; distraught, he attempts to arrest her. Miguel reluctantly grants Gwen membership into the Spider-Society, allowing her to escape with him and Jess.",https://inreview52838412.files.wordpress.com/2023/06/spider-man-across-the-spider-verse-poster.jpg?w=1280
3,Barbie,1,,https://upload.wikimedia.org/wikipedia/en/0/0b/Barbie_2023_poster.jpg,"Stereotypical Barbie (""Barbie"") and a wide range of fellow Barbies all reside in Barbieland, a matriarchal society where all women are self-confident, self-sufficient, and successful. While their Ken counterparts spend their days engaging in recreational activities at the beach, the Barbies hold all important job positions such as doctors, lawyers, and politicians. Beach Ken (""Ken""), Barbie's boyfriend, is only happy when with Barbie and seeks a closer relationship, but Barbie rebuffs him in favor of independence and female friendships.","https://hips.hearstapps.com/hmg-prod/images/221216103336-03-barbie-movie-6435429f2f7e7.jpg?crop=0.844xw:1xh;center,top&resize=1200:*"
4,The Flash,1,,https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/The_Flash_%28film%29_poster.jpg/220px-The_Flash_%28film%29_poster.jpg,"After helping Bruce Wayne and Diana Prince stop a robbery gone wrong in Gotham City, Barry Allen revisits his childhood home and remembers his youth with his parents Nora and Henry, before Henry's wrongful imprisonment for Nora's murder.[a] Overcome by his emotions, Barry accidentally uses the Speed Force to travel back in time to earlier in the day and informs Bruce about it. Despite Bruce's warnings that time travel can have unintended consequences, Barry goes back to the day of Nora's death and prevents it from happening. As Barry returns to the present, he is knocked out of the Speed Force by another speedster and ends up in an alternate 2013 where his mother is alive. He finds his past self and realizes he has arrived on the day he originally obtained his powers.","https://hips.hearstapps.com/hmg-prod/images/00-64899030caa9d.jpg?crop=0.9962351578337678xw:1xh;center,top"
5,Guardians of the Galaxy Vol. 3,1,,https://upload.wikimedia.org/wikipedia/en/7/74/Guardians_of_the_Galaxy_Vol._3_poster.jpg,"At their new headquarters on Knowhere,[a] the Guardians of the Galaxy are attacked by Adam, a Sovereign warrior created by their high priestess Ayesha.[b] After Adam critically wounds Rocket, he is stabbed by Nebula and flees. The Guardians cannot heal Rocket's wounds with their med-packs due to a kill switch embedded in him by Orgocorp, a company helmed by a mad scientist and Rocket's creator, the High Evolutionary. The Guardians travel to Orgocorp's headquarters to find the switch's override code and save Rocket's life.",https://assetsio.reedpopcdn.com/FwREn74WAAYfziH.jpg?width=1200&height=1200&fit=bounds&quality=70&format=jpg&auto=webp
6,Point Break,1,,https://upload.wikimedia.org/wikipedia/en/thumb/7/7e/Pointbreaktheatrical.jpg/220px-Pointbreaktheatrical.jpg,"Former Ohio State quarterback and rookie FBI agent Johnny Utah assists experienced agent Angelo Pappas in investigating a string of bank robberies by the ""Ex-Presidents"": a gang of robbers who wear rubber masks of former presidents Ronald Reagan, Jimmy Carter, Richard Nixon and Lyndon B. Johnson. Rather than robbing the vault, they only demand the cash the tellers have in their drawers, and are gone within ninety seconds.",https://pad.mymovies.it/filmclub/2001/04/047/coverlg.jpg
7,The Little Mermaid,1,,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/The_Little_Mermaid_%282023_film%29.png/220px-The_Little_Mermaid_%282023_film%29.png,"Ariel is a mermaid princess and the youngest daughter of King Triton, ruler of the merpeople of Atlantica. She is fascinated with the human world despite never having seen it, as Triton forbid all merfolk from going to the surface after Ariel's mother was killed by a human. Ariel collects human objects with the support of her best friend, Flounder, a sergeant major, and Scuttle, a Northern gannet.","https://hips.hearstapps.com/hmg-prod/images/the-little-mermaid-poster-641c411a81897.jpg?crop=1.00xw:0.382xh;0,0.168xh&resize=1200:*"
8,Escape from Alcatraz,1,,https://upload.wikimedia.org/wikipedia/en/thumb/0/0d/Escape_from_alcatraz.jpg/220px-Escape_from_alcatraz.jpg,"In early 1960 Frank Morris, an exceptionally intelligent criminal who has absconded from other facilities, arrives at the maximum security prison on Alcatraz Island. The Warden curtly informs him that Alcatraz is unique within the US prison system for its exceedingly high level of security and that no inmate has ever successfully escaped. During the conversation, Morris sees two nail clippers on the Warden's desk and steals one of them.",https://i.ytimg.com/vi/b2f_zeCv4WU/maxresdefault.jpg
9,The Matrix,1,,https://pad.mymovies.it/filmclub/2001/11/033/locandina.jpg,"Computer programmer Thomas Anderson, known by his hacking alias ""Neo"", is puzzled by repeated online encounters with the phrase ""the Matrix"". Trinity contacts him and tells him a man named Morpheus has the answers Neo seeks. A team of Agents and police, led by Agent Smith, arrives at Neo's workplace in search of him. Though Morpheus attempts to guide Neo to safety, Neo surrenders rather than risk a dangerous escape. The Agents offer to erase Neo's criminal record in exchange for his help with locating Morpheus, who they claim is a terrorist. When Neo refuses to cooperate, they fuse his mouth shut, pin him down, and implant a robotic ""bug"" in his abdomen. Neo wakes up from what he believes to be a nightmare. Soon after, Neo is taken by Trinity to meet Morpheus, and she removes the bug from Neo.",https://www.gamespot.com/a/uploads/screen_kubrick/171/1712892/3694187-matrix_header.jpg
10,Memento,1,,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/Memento_poster.jpg/220px-Memento_poster.jpg,"The film starts with a Polaroid photograph of a dead man. As the sequence plays backward, the photo reverts to its undeveloped state, entering the camera before the man is shot in the head. The film then continues, alternating between black-and-white and color sequences.",https://antinomie.it/wp-content/uploads/2020/09/15.-Christopher-Nolan-Memento-2000.jpg
